Date,Open,High,Low,Close,Adj Close,Volume
2021-02-15,5.720000,6.190000,5.720000,6.170000,5.955695,27216086
2021-02-22,6.230000,6.450000,6.040000,6.130000,5.917084,57907336
2021-03-01,6.210000,6.430000,6.200000,6.390000,6.168053,38946163
2021-03-08,6.420000,6.470000,6.000000,6.080000,5.868821,31927011
2021-03-15,6.090000,6.270000,5.970000,6.000000,5.791599,29746719
2021-03-22,6.010000,7.030000,5.910000,6.680000,6.447980,147002109
2021-03-29,6.680000,6.820000,5.990000,6.100000,5.888126,108541238
2021-04-05,6.100000,6.100000,5.710000,5.760000,5.559936,42221426
2021-04-12,5.760000,6.390000,5.690000,6.280000,6.061874,65183144
2021-04-19,6.180000,6.290000,5.870000,5.890000,5.685420,59422182
2021-04-26,5.910000,6.030000,5.620000,5.650000,5.453756,38766282
2021-05-03,5.650000,6.190000,5.600000,6.190000,5.975000,47223698
2021-05-10,6.260000,7.490000,6.210000,6.700000,6.467286,326945520
2021-05-17,6.710000,7.080000,6.330000,6.500000,6.274233,177961323
2021-05-24,6.470000,6.870000,6.420000,6.480000,6.254928,120807776
2021-05-31,6.480000,6.660000,6.290000,6.350000,6.129443,78027291
2021-06-07,6.330000,6.740000,6.310000,6.570000,6.341802,83959118
2021-06-14,6.570000,6.590000,5.820000,6.000000,5.791599,63579202
2021-06-21,6.010000,6.080000,5.830000,5.970000,5.762641,42390674
2021-06-28,5.950000,6.100000,5.630000,5.680000,5.482714,41054133
2021-07-05,5.690000,5.860000,5.640000,5.760000,5.559936,29617508
2021-07-12,5.710000,5.890000,5.630000,5.720000,5.521325,37961011
2021-07-19,5.700000,5.860000,5.660000,5.730000,5.530978,32187430
2021-07-26,5.740000,5.800000,5.080000,5.350000,5.164176,35357985
2021-08-02,5.330000,5.600000,5.300000,5.370000,5.183481,25598296
2021-08-09,5.350000,5.590000,5.350000,5.490000,5.299314,25360048
2021-08-16,5.480000,5.500000,5.210000,5.430000,5.241397,34837001
2021-08-23,5.380000,5.640000,5.380000,5.560000,5.366882,32689942
2021-08-30,5.570000,6.480000,5.550000,6.140000,5.926737,120027546
2021-09-06,6.130000,6.270000,6.040000,6.220000,6.003958,69725036
2021-09-13,6.220000,6.410000,5.810000,5.960000,5.752989,62787105
2021-09-20,5.960000,6.000000,5.830000,5.830000,5.627504,16367271
2021-09-27,5.830000,5.940000,5.620000,5.740000,5.540630,17600296
2021-10-04,5.740000,5.910000,5.740000,5.860000,5.656462,4660700
2021-10-11,5.880000,6.360000,5.670000,6.080000,5.868821,55215322
2021-10-18,6.130000,6.410000,5.710000,5.730000,5.530978,49418793
2021-10-25,5.740000,5.770000,5.420000,5.600000,5.600000,19658313
2021-11-01,5.580000,5.840000,5.470000,5.780000,5.780000,29181215
2021-11-08,5.800000,6.230000,5.700000,6.150000,6.150000,78296566
2021-11-15,6.160000,6.250000,5.960000,6.040000,6.040000,54229794
2021-11-22,6.030000,6.550000,5.870000,6.240000,6.240000,82985510
2021-11-29,6.080000,6.540000,6.040000,6.360000,6.360000,157097099
2021-12-06,6.290000,6.470000,6.160000,6.170000,6.170000,71436087
2021-12-13,6.190000,6.650000,6.150000,6.310000,6.310000,93550128
2021-12-20,6.250000,6.720000,6.240000,6.280000,6.280000,81088060
2021-12-27,6.270000,6.850000,6.150000,6.790000,6.790000,122640544
2022-01-03,6.790000,7.100000,6.660000,6.680000,6.680000,109170385
2022-01-10,6.620000,7.000000,6.510000,6.820000,6.820000,110813008
2022-01-17,6.890000,7.670000,6.890000,7.420000,7.420000,261333878
2022-01-24,7.300000,8.650000,7.250000,8.510000,8.510000,465004594
2022-01-31,8.510000,8.510000,8.510000,8.510000,8.510000,0
2022-02-07,9.360000,13.710000,9.360000,13.710000,13.710000,285903764
2022-02-11,13.710000,13.710000,13.110000,13.710000,13.710000,108567562
