Date,Open,High,Low,Close,Adj Close,Volume
2021-02-15,4.784615,5.153846,4.784615,5.130769,5.090369,7925680
2021-02-22,5.107692,5.292307,5.038461,5.092307,5.052210,16569030
2021-03-01,5.092307,5.315384,5.092307,5.261538,5.220109,13005012
2021-03-08,5.261538,5.315384,4.907692,5.084615,5.044579,12200228
2021-03-15,5.076923,5.200000,5.000000,5.146153,5.105632,10306429
2021-03-22,5.176923,5.584615,5.130769,5.423076,5.380374,34166768
2021-03-29,5.461538,5.892307,5.323076,5.623076,5.578799,60274697
2021-04-05,5.623076,5.676923,5.230769,5.292307,5.250635,25524306
2021-04-12,5.292307,6.400000,5.146153,5.953846,5.906965,69672592
2021-04-19,5.753846,5.930769,5.415384,5.453846,5.410902,60362929
2021-04-26,5.392307,5.561538,5.276923,5.307692,5.265899,23701972
2021-05-03,5.307692,5.576923,5.215384,5.507692,5.464324,10336317
2021-05-10,5.515384,5.769230,5.461538,5.715384,5.670381,31992947
2021-05-17,5.661538,5.723076,5.392307,5.453846,5.410902,19447774
2021-05-24,5.446153,5.730769,5.415384,5.730769,5.685645,27864828
2021-05-31,5.730769,5.830769,5.600000,5.661538,5.616959,26443419
2021-06-07,5.661538,6.430000,5.638461,6.100000,6.051968,57500169
2021-06-14,6.000000,6.080000,5.770000,5.880000,5.880000,34148432
2021-06-21,5.850000,5.940000,5.630000,5.730000,5.730000,29959948
2021-06-28,5.700000,5.810000,5.430000,5.460000,5.460000,21610045
2021-07-05,5.450000,5.570000,5.390000,5.420000,5.420000,13236332
2021-07-12,5.450000,5.560000,5.180000,5.200000,5.200000,16677569
2021-07-19,5.210000,5.300000,5.100000,5.130000,5.130000,12935249
2021-07-26,5.130000,5.130000,4.730000,4.910000,4.910000,13721031
2021-08-02,4.880000,5.070000,4.760000,4.930000,4.930000,10801166
2021-08-09,4.940000,5.140000,4.920000,5.030000,5.030000,11869460
2021-08-16,5.010000,5.100000,4.820000,4.950000,4.950000,14500294
2021-08-23,4.970000,5.170000,4.860000,4.900000,4.900000,17141588
2021-08-30,4.910000,5.160000,4.840000,5.100000,5.100000,16202345
2021-09-06,5.100000,5.320000,5.080000,5.310000,5.310000,19072127
2021-09-13,5.290000,5.350000,5.110000,5.150000,5.150000,15211566
2021-09-20,5.150000,5.280000,5.070000,5.160000,5.160000,6236015
2021-09-27,5.140000,5.170000,4.870000,4.980000,4.980000,7677370
2021-10-04,4.980000,5.130000,4.980000,5.130000,5.130000,2362552
2021-10-11,5.120000,5.160000,4.550000,4.980000,4.980000,8369222
2021-10-18,4.960000,5.150000,4.870000,4.940000,4.940000,10216839
2021-10-25,4.940000,4.990000,4.660000,4.890000,4.890000,7763661
2021-11-01,4.880000,4.950000,4.780000,4.940000,4.940000,6253485
2021-11-08,4.920000,5.130000,4.910000,5.130000,5.130000,10247625
2021-11-15,5.110000,5.220000,5.030000,5.170000,5.170000,10432796
2021-11-22,5.160000,5.390000,5.010000,5.260000,5.260000,17170005
2021-11-29,5.150000,5.710000,5.100000,5.450000,5.450000,74195269
2021-12-06,5.450000,6.070000,5.420000,5.570000,5.570000,103883672
2021-12-13,5.560000,5.940000,5.530000,5.760000,5.760000,50628579
2021-12-20,5.820000,6.030000,5.640000,5.700000,5.700000,47044796
2021-12-27,5.670000,6.340000,5.500000,6.090000,6.090000,84843389
2022-01-03,6.000000,6.750000,6.000000,6.180000,6.180000,74264065
2022-01-10,6.170000,6.370000,6.000000,6.100000,6.100000,50896497
2022-01-17,6.120000,6.920000,6.070000,6.920000,6.920000,91174598
2022-01-24,7.610000,7.980000,5.520000,5.730000,5.730000,189798306
2022-01-31,5.730000,5.730000,5.730000,5.730000,5.730000,0
2022-02-07,5.870000,7.430000,5.750000,7.090000,7.090000,159272619
2022-02-11,7.050000,7.430000,6.900000,7.090000,7.090000,46046012
